word,machado_fl,mac_morpho_fl,floresta_fl,genesis_fl,unitex-PB_fl,Manual Label
cache,N,Y,N,N,Y,Y
cacique,Y,Y,N,N,Y,Y
cad,Y,Y,Y,Y,N,N
cadastre,N,N,N,N,Y,Y
cade,N,N,N,N,N,Y
Cahill,Y,Y,Y,Y,N,N
caique,Y,Y,Y,Y,N,N
Cairo,N,N,N,Y,N,N
cake,Y,Y,Y,N,N,N
calibre,Y,Y,N,N,Y,Y
California,Y,N,Y,Y,N,N
call,N,Y,Y,N,N,N
calling,Y,Y,Y,Y,N,N
calm,N,Y,Y,Y,N,N
calor,Y,Y,Y,Y,Y,Y
Calvin,Y,N,Y,Y,N,N
calypso,Y,Y,N,Y,N,N
cam,Y,Y,Y,N,N,N
came,Y,Y,Y,N,N,N
camera,N,N,N,N,N,Y
cameraman,Y,N,Y,Y,N,N
camp,Y,N,N,N,N,N
campaign,Y,Y,Y,Y,N,N
campo,Y,Y,Y,Y,Y,Y
campus,N,Y,N,N,Y,Y
can,N,N,Y,N,N,N
Cana,N,Y,N,Y,N,Y
Canada,Y,Y,Y,Y,N,N
canal,Y,Y,Y,N,Y,Y
cancer,N,N,N,N,N,Y
cand,Y,Y,Y,Y,N,N
candy,Y,Y,Y,Y,N,N
canon,Y,Y,Y,Y,N,N
canso,Y,N,N,N,Y,Y
cant,Y,Y,Y,N,N,N
cantar,Y,Y,Y,N,Y,Y
cantina,N,N,N,N,Y,Y
canto,Y,Y,Y,N,Y,Y
Canton,Y,Y,Y,Y,N,N
cantor,Y,Y,Y,N,Y,Y
cap,N,Y,Y,Y,N,N
capacity,Y,Y,Y,Y,N,N
capital,Y,Y,Y,N,Y,Y
capote,Y,N,N,N,Y,Y
Capri,Y,N,Y,Y,N,N
car,N,Y,Y,N,N,N
Cara,Y,Y,N,N,N,Y
caracol,Y,N,N,N,Y,Y
caramba,Y,N,N,N,N,Y
caramel,Y,Y,Y,Y,N,N
carbo,N,N,N,N,N,Y
Carboniferous,Y,Y,Y,Y,N,N
card,Y,N,Y,Y,N,N
careful,Y,Y,Y,Y,N,N
carga,Y,Y,Y,N,Y,Y
cargo,Y,Y,Y,Y,Y,Y
Carl,N,N,Y,Y,N,N
Carlo,N,N,Y,Y,N,N
Carlos,N,N,Y,Y,N,N
Carman,Y,Y,Y,Y,N,N
Carmela,N,N,Y,Y,N,N
Carmen,N,N,Y,Y,N,N
carnal,Y,Y,N,N,Y,Y
Carnegie,Y,N,Y,Y,N,N
Caro,Y,Y,N,N,N,Y
carol,Y,Y,Y,Y,N,N
caroli,Y,Y,Y,Y,N,N
Carolina,N,N,Y,Y,N,N
Caroline,Y,N,Y,Y,N,N
carpet,Y,Y,Y,Y,N,N
carr,Y,Y,Y,Y,N,N
Carrie,Y,Y,Y,Y,N,N
carrot,Y,Y,Y,Y,N,N
carry,Y,Y,Y,N,N,N
cart,Y,Y,Y,Y,N,N
carter,Y,Y,Y,Y,N,N
Cartier,Y,Y,N,Y,N,N
cartoon,Y,Y,N,Y,N,N
casal,Y,Y,Y,N,Y,Y
casava,Y,N,N,N,Y,Y
case,Y,N,N,Y,Y,Y
Casey,Y,Y,Y,Y,N,N
cash,Y,N,Y,N,N,N
Casper,Y,Y,Y,Y,N,N
Cassandra,N,N,N,Y,N,N
Cassia,Y,Y,Y,Y,N,N
cassie,Y,Y,Y,Y,N,N
Cassis,Y,Y,Y,Y,N,N
cast,Y,Y,Y,N,N,N
casting,Y,Y,Y,Y,N,N
casual,Y,Y,N,N,Y,Y
cat,Y,Y,Y,N,N,N
catching,Y,Y,Y,Y,N,N
catchup,N,N,N,N,N,Y
caterva,Y,N,Y,Y,N,N
catfish,Y,Y,Y,Y,N,N
Catherine,Y,N,Y,Y,N,N
cauda,Y,Y,Y,N,Y,Y
cause,Y,N,N,Y,Y,Y
cava,Y,N,N,N,Y,Y
cavern,Y,Y,Y,Y,N,N
caviar,N,N,N,N,Y,Y
ce,Y,N,N,Y,N,N
Cecilia,N,Y,Y,Y,N,N
cede,Y,Y,Y,N,Y,Y
ceder,Y,Y,Y,N,Y,Y
Cedric,Y,Y,Y,Y,N,N
celebration,Y,Y,Y,Y,N,N
Celeste,Y,N,N,N,N,Y
celestial,Y,N,Y,N,Y,Y
